building_address,tenant_name,occupancy_status,availability_status,retail_type,retail_sub_type,retailer_footprint,retail_price_point,retailer_heritage,retailer_value,retailer_occurence,location_quality,premise_quality,quality_ranking,class_mix,corner_store,percent_of_bldg_retail,premise_type,basement_sf,ground_fl_sf,mezzazine,upper_fl_sf,step_up_or_down,number_of_retail_stories,street_frontage,approx_retail_sf,street_frontage_ratio,ceiling,contains_retail,submarket,total_number_of_retail_space,total_retail_space,zip_code,xcord,ycord,building_status,borocode,borough,bbl,block,lot,frequency_of_demand,location_appearance,walkability_score,viability_score,demographic,zip_code_from,zip_code_to,submarket_health_index,gentrifcation_score,footfall_index,block_appeal,target_shopper_profile,stability_index,growth_index,retailer_viability,venting,social_media,total_bldg_front,active,mailer_building_number,mailer_street,mailer_street_type,mailer_city,mailer_state,mailer_zip_code,*location_quality_Grade(Numeric),*premise_quality-grade(Numeric),listing_brokerage,listing_broker_name,listing_broker_email,listing_broker_number,tenant_contact_name,tenant_contact_phone_number,tenant_contact_email,tenant_contact_address,owner_contact_name,owner_contact_phone_number,owner_contact_email,owner_contact_address,unique_id_addedem,unique_id_complete,corridor,lattitude,longitude,venting,previous_tenant,notes
171 Christopher Street,Vacant,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,2690,0,0,,1,21,2690,128.095238095238,Standard,Yes,West Village,1,2690,10014,981705,206266,Existing,1,Manhattan,1-636-33,636,33,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-636-33-1,,,,,,
173 Christopher Street,Something's Cooking Catering,Occupied,Unavailable,Restaurant & Bar,Restaurant,Regional Presence,$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,0,0,612.5,,1,24,612.5,25.5208333333333,Standard,Yes,West Village,2,612.5,10014,981672,206259,Existing,1,Manhattan,1-636-34,636,34,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-636-34-2,,,,,,
185 Christopher Street,Rockbar NYC,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$,North American,,,2 - Average,2 - Average,4,Average,Yes,100 ,Street Frontage,0,1777,0,0,,1,24,1777,74.0416666666667,Standard,Yes,West Village,1,1777,10014,981554,206219,Existing,1,Manhattan,1-636-40,636,40,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-636-40-1,,,,,,
398 West Street,B2Pro,Occupied,Unavailable,"Building, Garden, Animal",Hardware,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,600,0,0,Step up,1,24,600,25,Standard,Yes,West Village,1,600,10014,981521,206480,Existing,1,Manhattan,1-636-43,636,43,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-636-43-1,,,,,,
680 Washington Street,Beasty Feast,Occupied,Unavailable,"Building, Garden, Animal",Pet Related,Local Chain / Independant,$$$,North American,,,2 - Average,2 - Average,4,Average,Yes,100 ,Street Frontage,0,5232,0,0,,1,24,5232,218,Standard,Yes,West Village,1,5232,10014,981834,206588,Existing,1,Manhattan,1-636-60,636,60,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-636-60-1,,,,,,
177 Christopher Street,Marine Repair,Occupied,Unavailable,Other Services,Other Services,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,0,0,583,,1,12,583,48.5833333333333,Standard,Yes,West Village,2,583,10014,981602,206295,Existing,1,Manhattan,1-636-8,636,8,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-636-8-1,,,,,,
9 Weehawken Street,Vacant,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,583,0,0,,1,21,583,27.7619047619048,Standard,Yes,West Village,2,583,10014,981602,206295,Existing,1,Manhattan,1-636-8,636,8,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-636-8-2,,,,,,
690 Washington Street,Douglas Elliman Real Estate,Occupied,Unavailable,Other Services,,Regional Presence,$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,300,0,0,Step down,1,10,300,30,Standard,Yes,West Village,2,300,10014,981820,206790,Existing,1,Manhattan,1-637-30,637,30,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-637-30-2,,,,,,
423 West Street,The Rusty Knot,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,Yes,100 ,Street Frontage,0,2594,0,0,,1,45,2594,57.6444444444444,Standard,Yes,West Village,1,2594,10014,981571,207085,Existing,1,Manhattan,1-637-51,637,51,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-637-51-1,,,,,,
372 West 11 Street,Vacant,Vacant,Unavailable,,,,,,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,600,0,0,,1,15,600,40,Standard,Yes,West Village,1,600,10014,981599,207123,Existing,1,Manhattan,1-637-54,637,54,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-637-54-1,,,,,,
163 Charles Street,Vacant,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,2000,0,0,,1,15,2000,133.333333333333,Standard,Yes,West Village,1,2000,10014,981631,206749,Existing,1,Manhattan,1-637-7506,637,7506,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-637-7506-1,,,,,,
360 West 11 Street,Casa del Popolo,Occupied,Unavailable,Gallery,,Local Chain / Independant,$$$,North American,Hip,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,11350,0,0,,1,45,11350,252.222222222222,Standard,Yes,West Village,1,11350,10014,981754,207130,Existing,1,Manhattan,1-637-7507,637,7507,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-637-7507-1,,,,,,
755 Washington ,Art & Commerce ,Occupied,Unavailable,Personal Services,"Hair Studio, Barber",Local Chain / Independant,$$$,European,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,16076,0,0,,2,125,16076,128.608,High,Yes,West Village,1,16076,10014,982040,207846,Existing,1,Manhattan,1-640-34,640,34,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-640-34-1,,,,,,
765 Washington ,Entwine ,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$$$,North American,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,900,0,0,,1,50,900,18,Standard,Yes,West Village,1,900,10014,982044,207930,Existing,1,Manhattan,1-640-39,640,39,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-640-39-1,,,,,,
767 Washington ,Tortilla Flats ,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,Yes,100 ,Street Frontage,0,1400,0,0,,1,55,1400,25.4545454545455,Low,Yes,West Village,1,1400,10014,982042,207949,Existing,1,Manhattan,1-640-40,640,40,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-640-40-1,,,,,,
328 W 12th,Recette,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$$,European,,,2 - Average,2 - Average,4,Average,Yes,100 ,Street Frontage,0,1018,0,0,,1,55,1018,18.5090909090909,Standard,Yes,West Village,1,1018,10014,982416,207936,Existing,1,Manhattan,1-640-56,640,56,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-640-56-1,,,,,,
790 Greenwich Street,D'Agostino Supermarket,Occupied,Unavailable,Grocery,Supermarket,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,13536,0,0,,1,115,13536,117.704347826087,High,Yes,West Village,1,13536,10014,982374,207854,Existing,1,Manhattan,1-640-57,640,57,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-640-57-1,,,,,,
349 West 12 Street,Vacant,Vacant,Unavailable,,,,,,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,1760,0,0,Step up,1,45,1760,39.1111111111111,Standard,Yes,West Village,1,1760,10014,982210,208055,Existing,1,Manhattan,1-641-65,641,65,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-641-65-1,,,,,,
775 Washington Street ,Barbuto ,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$$,European,,,2 - Average,2 - Average,4,Average,Yes,100 ,Street Frontage,0,2000,0,0,,1,50,2000,40,Standard,Yes,West Village,1,2000,10014,982070,208060,Existing,1,Manhattan,1-641-75,641,75,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-641-75-1,,,,,,
113 Jane Street,Cafe Gitane,Occupied,Unavailable,Restaurant & Bar,Cafe,Local Chain / Independant,$$$,North American,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,4000,0,0,,1,55,4000,72.7272727272727,Standard,Yes,West Village,1,4000,10014,981665,208258,Existing,1,Manhattan,1-642-1,642,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-642-1-1,,,,,,
820 Greenwich Street,Foundation of Contemorary Art,Occupied,Unavailable,Other Services,Other Services,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,Yes,100 ,Street Frontage,0,3200,0,0,,1,90,3200,35.5555555555556,Standard,Yes,West Village,1,3200,10014,982385,208257,Existing,1,Manhattan,1-642-62,642,62,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-642-62-1,,,,,,
85 Jane Street,vacant,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,4070,0,0,,1,65,4070,62.6153846153846,Standard,Yes,West Village,1,4070,10014,982168,208268,Existing,1,Manhattan,1-642-70,642,70,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-642-70-1,,,,,,
91 Jane Street ,Inudstria ,Occupied,Unavailable,Gallery,Blank,Local Chain / Independant,$$$,European,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,4039,0,0,,1,75,4039,53.8533333333333,High,Yes,West Village,1,4039,10014,982113,208249,Existing,1,Manhattan,1-642-72,642,72,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-642-72-1,,,,,,
113 Horatio Street,Bakehouse Bistro,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,Yes,15 ,Street Frontage,0,5703.9,0,0,Step up,1,100,5703.9,57.039,Standard,Yes,West Village,13,5703.9,10014,981801,208536,Existing,1,Manhattan,1-643-1,643,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-643-1-1,,,,,,
91 Horatio Street,91 Horatio,Occupied,Unavailable,Other Services,Other Services,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,13 ,Street Frontage,0,4753.25,0,0,,1,45,4753.25,105.627777777778,Standard,Yes,West Village,13,4753.25,10014,981801,208536,Existing,1,Manhattan,1-643-1,643,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-643-1-2,,,,,,
800 Washington Street,Nonno Gourmet,Occupied,Unavailable,Grocery,"Deli, Convenience Store",Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,Yes,10 ,Street Frontage,0,3802.6,0,0,,1,60,3802.6,63.3766666666667,Standard,Yes,West Village,13,3802.6,10014,981801,208536,Existing,1,Manhattan,1-643-1,643,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,3,1-643-1-3,,,,,,
804 Washington Street,By Kilian Botique,Occupied,Unavailable,Personal Services,Spa,Local Chain / Independant,$$$$,North American,,,2 - Average,2 - Average,4,Average,No,3 ,Street Frontage,0,950.65,0,0,,1,12,950.65,79.2208333333333,Standard,Yes,West Village,13,950.65,10014,981801,208536,Existing,1,Manhattan,1-643-1,643,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,4,1-643-1-4,,,,,,
806 Washington Street,Hanro,Occupied,Unavailable,Apparel,Clothing,International Presence,$$$,European,,,2 - Average,2 - Average,4,Average,No,3 ,Street Frontage,0,950.65,0,0,,1,12,950.65,79.2208333333333,Standard,Yes,West Village,13,950.65,10014,981801,208536,Existing,1,Manhattan,1-643-1,643,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,5,1-643-1-5,,,,,,
808 Washington Street,Christian Loutoutin,Occupied,Unavailable,Apparel,Shoes,International Presence,$$$$,North American,Designer,,2 - Average,2 - Average,4,Average,No,3 ,Street Frontage,0,950.65,0,0,,1,12,950.65,79.2208333333333,Standard,Yes,West Village,13,950.65,10014,981801,208536,Existing,1,Manhattan,1-643-1,643,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,6,1-643-1-6,,,,,,
810 Washington Street,Jay Godfrey,Occupied,Unavailable,Apparel,Clothing,International Presence,$$$,North American,Women's,,2 - Average,2 - Average,4,Average,No,3 ,Street Frontage,0,950.65,0,0,,1,15,950.65,63.3766666666667,Standard,Yes,West Village,13,950.65,10014,981801,208536,Existing,1,Manhattan,1-643-1,643,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,7,1-643-1-7,,,,,,
812 Washington Street,Intermix,Occupied,Unavailable,Apparel,Clothing,International Presence,$$$,North American,Women's,,2 - Average,2 - Average,4,Average,No,6 ,Street Frontage,600,1845,0,0,,1,60,2445,40.75,Standard,Yes,West Village,13,2445,10014,981801,208536,Existing,1,Manhattan,1-643-1,643,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,8,1-643-1-8,,,,,,
90 Gansevoort Street,Vacant,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,No,5 ,Street Frontage,0,1901.3,0,0,Step up,1,30,1901.3,63.3766666666667,Standard,Yes,West Village,13,1901.3,10014,981801,208536,Existing,1,Manhattan,1-643-1,643,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,9,1-643-1-9,,,,,,
521 West Street,Bake House ,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,10 ,Street Frontage,0,3802.6,0,0,Step up,1,30,3802.6,126.753333333333,Standard,Yes,West Village,13,3802.6,10014,981801,208536,Existing,1,Manhattan,1-643-1,643,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,10,1-643-1-10,,,,,,
807 Washington ,Nicholas Kirkwood,Occupied,Unavailable,Apparel,Shoes,Local Chain / Independant,$$$,North American,,,2 - Average,2 - Average,4,Average,No,40 ,Street Frontage,0,1080,0,0,,1,55,1080,19.6363636363636,Standard,Yes,West Village,3,1080,10014,982088,208520,Existing,1,Manhattan,1-643-38,643,38,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-643-38-1,,,,,,
805 Washington ,Maxim Eyes,Occupied,Unavailable,Health and Personal Care,Optical,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,40 ,Street Frontage,0,1080,0,0,,1,55,1080,19.6363636363636,Standard,Yes,West Village,3,1080,10014,982088,208520,Existing,1,Manhattan,1-643-38,643,38,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,2,1-643-38-2,,,,,,
803 Washington Street,Kava Cafe ,Occupied,Unavailable,Restaurant & Bar,Cafe,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,20 ,Street Frontage,0,540,0,0,,1,45,540,12,Standard,Yes,West Village,3,540,10014,982088,208520,Existing,1,Manhattan,1-643-38,643,38,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,3,1-643-38-3,,,,,,
565 West Street,Interstate Foods INC.,Occupied,Unavailable,Grocery,Wholesale,Local Chain / Independant,$$,North American,,,2 - Average,2 - Average,4,Average,No,40 ,Interior,0,4831.6,0,0,Step up,1,,4831.6,,Standard,Yes,West Village,7,4831.6,10014,981856,208934,Existing,1,Manhattan,1-644-1,644,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,2,,,,,,,,,,,,,1,1-644-1-1,,,,,,
