building_address,tenant_name,occupancy_status,availability_status,retail_type,retail_sub_type,retailer_footprint,retail_price_point,retailer_heritage,retailer_value,retailer_occurence,location_quality,premise_quality,quality_ranking,class_mix,corner_store,percent_of_bldg_retail,premise_type,basement_sf,ground_fl_sf,mezzazine,upper_fl_sf,step_up_or_down,number_of_retail_stories,street_frontage,approx_retail_sf,street_frontage_ratio,ceiling,contains_retail,submarket,total_number_of_retail_space,total_retail_space,zip_code,xcord,ycord,building_status,borocode,borough,bbl,block,lot,frequency_of_demand,location_appearance,walkability_score,viability_score,demographic,zip_code_from,zip_code_to,submarket_health_index,gentrifcation_score,footfall_index,block_appeal,target_shopper_profile,stability_index,growth_index,retailer_viability,venting,social_media,total_bldg_front,active
214 Sullivan Street ,FoodInMotion Special Events ,Occupied,Unavailable,Restaurant & Bar,Restaurant,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,10 ,Street Frontage,0,850,0,0,None,1,25,850,34,Standard,Yes,NoHo,3,8500,10012,984202,205044,Existing,1,Manhattan,1-540-30,540,30,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
214 Sullivan ,Greenwich Village Dermatology ,Occupied,Unavailable,Health and Personal Care,Cosmetics & Beauty Supply,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,45 ,Street Frontage,0,2000,0,0,None,1,40,2000,50,Standard,Yes,NoHo,3,8500,10012,984202,205044,Existing,1,Manhattan,1-540-30,540,30,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
206 Sullivan Street,Senza Gluten,Occupied,Unavailable,Restaurant & Bar,Restaurant,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,,0,1025,0,0,None,,,1025,?,Standard,Yes,NoHo,2,2050,10012,984141,204881,Existing,1,Manhattan,1-540-36,540,36,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
171 Bleecker Street,Finest Deli,Occupied,Unavailable,Grocery,"Deli, Convenience Store","Independent local, Local Chain",$$,North American,,,3 - High Quality,2 - Average,5,Good,Yes,50 ,Street Frontage,0,1025,0,0,None,,,1025,?,Standard,Yes,NoHo,2,2050,10012,984141,204881,Existing,1,Manhattan,1-540-36,540,36,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
110 MacDougal ,Crystal Nails NY,Occupied,Unavailable,Personal Services,Nail Studio,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,635,0,0,Step up,1,30,635,21.1666666666667,Standard,Yes,NoHo,2,1270,10012,984085,205054,Existing,1,Manhattan,1-540-4,540,4,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
110 MacDougal ,Pink Penguin ,Occupied,Unavailable,Apparel,Clothing,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,635,0,0,Step up,1,25,635,25.4,Standard,Yes,NoHo,2,1270,10012,984085,205054,Existing,1,Manhattan,1-540-4,540,4,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
102 MacDougal ,vacant,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,No,30 ,Street Frontage,1144,2260,0,0,None,1,45,3404,75.6444444444444,Standard,Yes,NoHo,3,3450,10012,983996,204960,Existing,1,Manhattan,1-540-43,540,43,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
185 Bleecker ,Magic Smile ,Occupied,Unavailable,Medical Services,Medical Services,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,20 ,Street Frontage,0,690,0,0,None,1,35,690,19.7142857142857,Standard,Yes,NoHo,3,3450,10012,983996,204960,Existing,1,Manhattan,1-540-43,540,43,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
185 Bleecker ,Vacant,Vacant,Available,,,,,,,,3 - High Quality,2 - Average,5,Good,Yes,50 ,Street Frontage,0,1725,0,0,None,1,65,1725,26.5384615384615,Standard,Yes,NoHo,3,3450,10012,983996,204960,Existing,1,Manhattan,1-540-43,540,43,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
112 MacDougal Street,THELEwala,Occupied,Unavailable,Restaurant & Bar,Restaurant,"Independent local, Local Chain",$$,Asian,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,500,0,0,Step up,1,25,500,20,High,Yes,NoHo,2,1000,10012,984099,205075,Existing,1,Manhattan,1-540-5,540,5,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
112 MacDougal ,Creperie ,Occupied,Unavailable,Restaurant & Bar,Take-out,"Independent local, Local Chain",$$,European,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,500,0,0,None,1,25,500,20,Standard,Yes,NoHo,2,1000,10012,984099,205075,Existing,1,Manhattan,1-540-5,540,5,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
116 MacDougal Street,"Drink This, LLC",Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club","Independent local, Local Chain",$$,,,,2 - Average,2 - Average,4,Average,No,25 ,Street Frontage,475,0,0,0,Step down,1,20,475,23.75,Low,Yes,NoHo,3,1900,10012,984126,205117,Existing,1,Manhattan,1-540-7,540,7,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
116 MacDougal Street,insomnia cookies,Occupied,Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food",National Chain,$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,0,400,0,Step up,1,35,400,11.4285714285714,Standard,Yes,NoHo,3,1900,10012,984126,205117,Existing,1,Manhattan,1-540-7,540,7,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
116 MacDougal ,NYC Ink,Occupied,Unavailable,Personal Services,,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,25 ,Street Frontage,0,475,0,0,Step up,1,25,475,19,Standard,Yes,NoHo,3,1900,10012,984126,205117,Existing,1,Manhattan,1-540-7,540,7,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
173 Bleecker Street,village tannery,Occupied,Unavailable,Apparel,Clothing,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,3656.5,0,0,Step up,1,35,3656.5,104.471428571429,Standard,Yes,NoHo,3,7313,10012,984109,204902,Existing,1,Manhattan,1-540-7501,540,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
175 Bleecker Street A,Reminiscent Art,Occupied,Unavailable,Gallery,Art,"Independent local, Local Chain",$$,North American,,,3 - High Quality,2 - Average,5,Good,No,25 ,Street Frontage,0,1828.25,0,0,None,1,20,1828.25,91.4125,Standard,Yes,NoHo,3,7313,10012,984109,204902,Existing,1,Manhattan,1-540-7501,540,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
175 Bleecker Street A,Joker NYC Ink,Occupied,Unavailable,Personal Services,,"Independent local, Local Chain",$$,,,,3 - High Quality,2 - Average,5,Good,No,25 ,Street Frontage,0,366,0,0,None,1,20,366,18.3,Standard,Yes,NoHo,3,7313,10012,984109,204902,Existing,1,Manhattan,1-540-7501,540,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
120 MacDougal Street,Vacant,Vacant,Available,,,,,,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,925,0,0,None,1,30,925,30.8333333333333,Standard,Yes,NoHo,2,1850,10012,984153,205159,Existing,1,Manhattan,1-540-9,540,9,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
120 MacDougal ,Coffee & Beignets,Occupied,Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food","Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,925,0,0,None,1,30,925,30.8333333333333,Standard,Yes,NoHo,2,1850,10012,984153,205159,Existing,1,Manhattan,1-540-9,540,9,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
111 MacDougal ,Artichoke Basille's Pizza ,Occupied,Unavailable,Restaurant & Bar,Restaurant,Regional Chain,$$,North American,,,2 - Average,2 - Average,4,Average,No,40 ,Street Frontage,0,740,0,0,None,1,35,740,21.1428571428571,Standard,Yes,NoHo,2,1850,10012,984041,205235,Existing,1,Manhattan,1-542-44,542,44,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
113 MacDougal ,Minetta Tavern ,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club","Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,Yes,60 ,Street Frontage,0,1110,0,0,None,1,40,1110,27.75,Standard,Yes,NoHo,2,1850,10012,984041,205235,Existing,1,Manhattan,1-542-44,542,44,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
99 MacDougal,la frite,Occupied,Unavailable,Restaurant & Bar,Restaurant,"Independent local, Local Chain",$$,European,,,2 - Average,2 - Average,4,Average,No,33 ,Street Frontage,0,0,0,1072,Step up,1,25,1072,42.88,Standard,Yes,NoHo,3,3250,10012,983946,205111,Existing,1,Manhattan,1-542-51,542,51,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
99 MacDougal Street,The Kati Roll Company ,Occupied,Unavailable,Restaurant & Bar,Restaurant,"Independent local, Local Chain",$$,Asian,,,2 - Average,2 - Average,4,Average,No,33 ,Street Frontage,0,1072,0,0,Step up,1,25,1072,42.88,Standard,Yes,NoHo,3,3250,10012,983946,205111,Existing,1,Manhattan,1-542-51,542,51,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
99 MacDougal ,Greenwich village comedy club,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club","Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,33 ,Street Frontage,1072,0,0,0,Step down,1,30,1072,35.7333333333333,Standard,Yes,NoHo,3,3250,10012,983946,205111,Existing,1,Manhattan,1-542-51,542,51,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
95 MacDougal ,mirch masala Indiana cuisine ,Occupied,Unavailable,Restaurant & Bar,Restaurant,"Independent local, Local Chain",$$,Asian,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,651,0,0,None,1,25,651,26.04,Standard,Yes,NoHo,2,1302,10012,983930,205062,Existing,1,Manhattan,1-542-53,542,53,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
95 MacDougal ,thin crust pizza,Occupied,Unavailable,Restaurant & Bar,Take-out,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,900,0,0,None,1,25,900,36,Standard,Yes,NoHo,2,1302,10012,983930,205062,Existing,1,Manhattan,1-542-53,542,53,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
197 Bleecker ,Village Music World ,Occupied,Unavailable,Electronics,Music and Movies,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,673,0,0,None,1,30,673,22.4333333333333,Standard,Yes,NoHo,2,1346,10012,983868,205056,Existing,1,Manhattan,1-542-58,542,58,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
197 Bleecker ,Tibet Arts & Crafts ,Occupied,Unavailable,"Toys, Hobbies",Hobbies,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,673,0,0,None,1,20,673,33.65,Standard,Yes,NoHo,2,1346,10012,983868,205056,Existing,1,Manhattan,1-542-58,542,58,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
189 Bleecker,Villaggio Italian Bistro ,Occupied,Unavailable,Restaurant & Bar,Fast Food,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,900,1500,0,0,None,1,40,2400,60,Standard,Yes,NoHo,2,4450,10012,983903,205019,Existing,1,Manhattan,1-542-7502,542,7502,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
189 Bleecker,the coffee bean and tea leaf,Occupied,Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food","Independent local, Local Chain",$$,North American,,,3 - High Quality,2 - Average,5,Good,Yes,50 ,Street Frontage,,1100,,,None,1,100,2225,22.25,Standard,Yes,NoHo,2,4450,10012,983903,205019,Existing,1,Manhattan,1-542-7502,542,7502,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
309 Elizabeth Street,Sheen Center,Occupied,Unavailable,Other Services,Other Services,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,Yes,100 ,Street Frontage,0,12089,0,12089,None,1,120,24178,201.483333333333,Standard,Yes,East Village,1,24178,10012,986094,203534,Existing,1,Manhattan,1-521-43,521,43,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
288 Elizabeth Street,Tom & Jerry's,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club","Independent local, Local Chain",$,North American,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,1725,0,0,Step up,1,15,1725,115,Standard,Yes,East Village,1,1725,10012,986147,203274,Existing,1,Manhattan,1-521-63,521,63,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
290 Elizabeth Street,Parisi Bakery,Occupied,Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food","Independent local, Local Chain",$$,North American,,,2 - Average,3 - High Quality,5,Good,No,100 ,Street Frontage,0,1226,0,0,Step up,1,18,1226,68.1111111111111,Standard,Yes,East Village,1,1226,10012,986158,203295,Existing,1,Manhattan,1-521-64,521,64,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
292 Elizabeth Street,Siggy's Good Food,Occupied,Unavailable,Restaurant & Bar,Restaurant,"Independent local, Local Chain",$$,European,,,2 - Average,3 - High Quality,5,Good,No,100 ,Street Frontage,0,1560,0,0,Step up,1,21,1560,74.2857142857143,Standard,Yes,East Village,1,1560,10012,986166,203320,Existing,1,Manhattan,1-521-65,521,65,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
294 Elizabeth Street,Arte Salon,Occupied,Unavailable,Personal Services,"Hair Studio, Barber","Independent local, Local Chain",$$$$,North American,,,2 - Average,3 - High Quality,5,Good,No,100 ,Street Frontage,0,1000,0,0,Step up,1,18,1000,55.5555555555556,Standard,Yes,East Village,1,1000,10012,986168,203347,Existing,1,Manhattan,1-521-66,521,66,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
10 Bleecker Street,Vacant,Vacant,Available,,,,,,,,2 - Average,3 - High Quality,5,Good,No,100 ,Street Frontage,0,2835,0,0,None,1,75,2835,37.8,Standard,Yes,East Village,1,2835,10012,986208,203494,Existing,1,Manhattan,1-521-71,521,71,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
4 Bleecker Street,Madam Geneva,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club","Independent local, Local Chain",$$,North American,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,0,1080,0,0,None,1,18,1080,60,Standard,Yes,East Village,1,1080,10012,986272,203498,Existing,1,Manhattan,1-521-73,521,73,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
312 Bowery ,The Hole,Occupied,Unavailable,Gallery,Art,"Independent local, Local Chain",$$$$,North American,,,2 - Average,3 - High Quality,5,Good,No,100 ,Street Frontage,0,3555,0,3555,None,1,45,7110,158,Standard,Yes,East Village,1,7110,10012,986279,203445,Existing,1,Manhattan,1-521-75,521,75,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
306 Mott Street,Ranjha Mott Cleaners & Tailor,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning","Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,100 ,Street Frontage,0,1042,0,0,Step up,1,18,1042,57.8888888888889,Standard,Yes,East Village,1,1042,10012,985969,203414,Existing,1,Manhattan,1-521-7501,521,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
298 Elizabeth,Patricia Field,Occupied,Unavailable,Apparel,Clothing,"Independent local, Local Chain",$$$$,North American,,,2 - Average,3 - High Quality,5,Good,No,100 ,Street Frontage,0,1831,0,0,None,1,18,1831,101.722222222222,Standard,Yes,East Village,1,1831,10012,986183,203392,Existing,1,Manhattan,1-521-7502,521,7502,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
304 Bowery,Slainte,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club","Independent local, Local Chain",$$,European,,,2 - Average,3 - High Quality,5,Good,No,100 ,Street Frontage,0,4003,0,0,None,2,18,4003,222.388888888889,Standard,Yes,East Village,1,4003,10012,986258,203341,Existing,1,Manhattan,1-521-7503,521,7503,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
316 Bowery,Saxon & Parole,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club","Independent local, Local Chain",$$$$,North American,,,2 - Average,3 - High Quality,5,Good,Yes,100 ,Street Frontage,0,3431,0,0,None,1,60,3431,57.1833333333333,Standard,Yes,East Village,1,3431,10012,986318,203482,Existing,1,Manhattan,1-521-7504,521,7504,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
